"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
Shijian 17,China,China,China Satellite Communication Corp. (China Satcom),Government,Technology Development,,GEO,,162.90,"35,777","35,796",2.25E-04,0.8,1435.8,"3,800",,,11/3/2016,,China Academy of Space Technology (CAST),China,Wenchang Satellite Launch Center,Long March 5,2016-065A,41838,"Communications, demonstration of navigation, a demonstration of an optical-sensing payload to observe space debris at high altitude. The optical sensor can also be used for Space Situational Awareness.",JM/12_16
"Shijian 6A (SJ-6A, Dong Fang Hong 60)",China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,579,606,1.94E-03,97.8,96.5,,,,9/8/2004,2,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413,Monitor space radiation.,www.satellitedebris.net 12/12
Shijian 6B (SJ-6B),China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,587,598,7.90E-04,97.8,96.5,,,,9/8/2004,2,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414,Monitor space radiation.,www.satellitedebris.net 12/12
Shijian 6C (SJ-6-02A),China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,591,594,2.15E-04,97.7,96.5,,,,10/23/2006,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505,Radiation detectors and other space environment-related instruments.,www.satellitedebris.net 12/12
Shijian 6D (SJ-6-02B),China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,594,595,7.18E-05,97.7,96.6,,,,10/23/2006,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506,Radiation detectors and other space environment-related instruments.,www.satellitedebris.net 12/12
"Shijian 6E (SJ6-03A, SJ-6E)",China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,581,607,1.87E-03,97.6,96.6,,,,10/25/2008,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408,Monitor space environment; conduct several experiments.,www.satellitedebris.net 12/12
"Shijian 6F (SJ6-03B, SJ-6F)",China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,578,603,1.80E-03,97.6,96.5,,,,10/25/2008,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409,Monitor space environment; conduct several experiments.,www.satellitedebris.net 12/12
Shijian 6G (SJ6-04A),China,China,China Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0.00,584,603,1.36E-03,97.7,96.6,,,,10/6/2010,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179,Possible reconnaissance function.,www.satellitedebris.net 12/12
Shijian 6H (SJ6_04B),China,China,China Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0.00,586,602,1.15E-03,97.7,96.6,,,,10/6/2010,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180,Possible reconnaissance function.,www.satellitedebris.net 12/12
"Shijian 7 (SJ7, Dong Fang Hong 65)",China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,534,591,4.11E-03,97.7,95.9,,,,7/5/2005,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737,Monitor space environment; conduct several experiments.,www.satellitedebris.net 12/12
Shijian 9A (SJ 9A),China,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Technology Development,,LEO,Sun-Synchronous,0.00,623,650,1.93E-03,97.99,97.44,,,,10/14/2012,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,SC - ASCR
Shijian 9B (SJ 9B),China,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Technology Development,,LEO,Sun-Synchronous,0.00,624,651,1.93E-03,97.99,97.46,,,,10/14/2012,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,SC - ASCR
"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",China,China,China Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0.00,586,601,1.08E-03,97.5,96.6,204,,,4/18/2004,,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220,"Stereo mapping; photographic surveys of China's land resources, monitor environment, mapping.",www.satellitedebris.net 12/12
"Shiyan 3 (SY3, Experimental Satellite 3)",China,China,China Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0.00,785,803,1.26E-03,98.5,100.8,300,,,11/5/2008,,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433,Experiments on new technologies in atmospheric exploration.,www.satellitedebris.net 12/12
"Shiyan 4 (SY4, Experimental Satellite 4)",China,China,China Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0.00,784,802,1.26E-03,98.4,100.7,300,,,11/20/2011,,CAST/DFH Satellite Co. Ltd./HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931,Study the environment and test new space technologies.,www.satellitedebris.net 12/12
"Shiyan 5 (SY5, Experimental Satellite 5)",China,China,China Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0.00,739,755,1.12E-03,97.9,99.7,204,,,11/25/2013,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455,Remote sensing and research.,ZARYA/ASCR
"Shiyan 6 (SY6, Experimental Satellite 6)",China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0.00,488,504,1.17E-03,97.4,99.6,,,,11/19/2018,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-094A,43710,"""Space environment exploration experiments.""",JMSatcat/11_18
"Shiyan 7 (SY7, Experimental Satellite 7)",NR,China,China Academy of Space Technology (CAST),Military,Technology Development,,LEO,Sun-Synchronous,0.00,668,672,2.84E-04,98.06,98.15,,,,7/19/2013,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2013-037A,39208,Possibly testing systems for detection of orbiting space debris or tracking missile launches.,ZARYA
Sicral 1A ,Italy,Italy,Italian Defense Ministry,Military,Communications,,GEO,,16.25,"35,769","35,802",3.91E-04,1.01,1436.06,"2,596","1,263","3,300",2/7/2001,12,Alenia Spazio,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694,"Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered.",JM/12_08
Sicral 1B,Italy,Italy,Italian Defense Ministry/Telespazio,Military/Commercial,Communications,,GEO,,11.80,"35,788","35,802",1.66E-04,0.04,1436.52,"3,038",,,4/20/2009,12,Thales Alenia Space Italia,Italy,Sea Launch Odyssey,Zenit 3SL,2009-020A,34810,One third paid for by Telespazio; will use some transponders for approved government customers.,SC - ASCR
Sicral 2/Syracuse 3C,Italy,France/Italy,Italian Defense Ministry/French Defense Ministry,Military,Communications,,GEO,,37.00,"35,770","35,800",3.56E-04,0,1436,"4,400",,"7,700",4/26/2015,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2015-022B,40614,"Military communications payloads from both Italy and France, shared satellite bus.",JM/8_15
"Sinah-1 (Sina 1, ZS1)",NR,Iran,Iranian Research Organization for Science and Technology (IROST),Government,Communications,,LEO,Sun-Synchronous,0.00,681,703,1.56E-03,97.9,98.6,170,,,10/27/2005,3,Polyot,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893,"""Telecommunications and research."" ""Take pictures of Iran and to monitor natural disasters in the earthquake-prone nation.""",www.satellitedebris.net 12/12
SINOD D-1,USA,USA,SRI International,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0.00,494,800,2.18E-02,64.78,97.67,2,,,10/8/2015,,SRI International,USA,Cape Canaveral,Atlas 5,2015-058L,40974,Demonstration of software defined radio communications.,JM/12_15
SINOD D-3,USA,USA,SRI International,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0.00,494,800,2.18E-02,64.78,97.66,2,,,10/8/2015,,SRI International,USA,Cape Canaveral,Atlas 5,2015-058P,40977,Demonstration of software defined radio communications.,JM/12_15
"Sinosat-6 (Chinasat-6A, XN-6)",China,China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,,GEO,,0.00,"35,794","35,796",2.37E-05,0.3,1436.1,"5,000",,,9/4/2010,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2010-042A,37150,"Television and radio across China. 1 S-band, 24 C-band, and 8 Ku-band transponders. Backup for Sinosat 3.",SC - ASCR
Sirius 1 (SD Radio 1),USA,USA,Sirius XM Holdings,Commercial,Communications,,Elliptical,Molniya,0.00,"23,783","47,100",2.79E-01,63.3,1418.5,"3,727","1,570",,6/30/2000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-035A,26390,"Relay music, news, entertainment directly to motorists in the USA; a fourth satellite is stored on the ground for rapid replacement, if necessary.",JMSatcat304
Sirius 2 (SD Radio 2),USA,USA,Sirius XM Holdings,Commercial,Communications,,Elliptical,Molniya,0.00,"12,849","47,048",4.71E-01,63.3,1148.43,"3,792","1,570",,9/5/2000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-051A,26483,"Relay music, news, entertainment directly to motorists in the USA.",JMSatcat304
Sirius 3 (SD Radio 3),USA,USA,Sirius XM Holdings,Commercial,Communications,,Elliptical,Molniya,0.00,"6,179","47,086",6.20E-01,63.4,994.83,"3,727","1,570",,11/30/2000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-077A,26626,"Relay music, news, entertainment directly to motorists in the USA.",JMSatcat304
Sirius 4 (Astra 4A),Sweden,Sweden,SES S.A.,Commercial,Communications,,GEO,,4.85,"35,776","35,795",2.25E-04,0.04,1436.1,"4,400",,,11/17/2007,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton M,2007-057A,32299,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.,JM/12_08
Sirius FM-5,USA,USA,Sirius XM Holdings,Commercial,Communications,,GEO,,-96.00,"35,774","35,798",2.85E-04,0,1436,"5,800",,"20,000",6/30/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2009-034A,35493,First in geostationary orbit.,SC - ASCR
Sirius FM-6,USA,USA,Sirius XM Holdings,Commercial,Communications,,GEO,,-115.20,"35,785","35,791",7.12E-05,0.08,1436.16,"6,020","2,975","20,000",10/25/2013,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-058A,39360,"Provide service the continental USA including digital audio radio broadcast directly to cars, homes and portable radios.",SC - ASCR
Sirius XM-5,USA,USA,Sirius XM Holdings,Commercial,Communications,,GEO,,-85.20,"35,779","35,795",1.90E-04,0.03,1436.12,"5,983",,"18,000",10/14/2010,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-053A,37185,Direct radio broadcasting.,SC - ASCR 
SiriusSat-1,Russia,Russia,SPUTNIX Ltd.,Civil,Space Science,,LEO,Non-Polar Inclined,0.00,402,404,1.48E-04,51.6,92.6,1,,,8/15/2018,,SPUTNIX Ltd. Sirius Education Center,Russia,International Space Station,Manual Deployment,1998-067PG,43955,Built by Russian school children under supervision at SPUTNIX education center. Also carries amateur radio package.,JM/11_18
SiriusSat-2,Russia,Russia,SPUTNIX Ltd.,Civil,Space Science,,LEO,Non-Polar Inclined,0.00,400,408,5.90E-04,51.6,92.6,1,,,8/15/2018,,SPUTNIX Ltd. Sirius Education Center,Russia,International Space Station,Manual Deployment,1998-067PH,43956,,JM/11_18
Sky Mexico-1,NR,Mexico,Sky Mexico,Commercial,Communications,,GEO,,-79.00,"35,788","35,800",1.42E-04,0,1436,"3,180",,,5/27/2015,18,Orbital ATK,USA,Guiana Space Center,Ariane 5 ECA,2015-026B,40664,First satellite for Sky Mexico.,JM/8_15
Sky Muster 1 (NBN-1A),Australia,Australia,NBN Co (operated by Optus),Commercial,Communications,,GEO,,150.00,"35,744","35,777",3.92E-04,0.07,1434.76,"6,440",,"16,400",9/30/2015,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2015-054A,40940,NBN is a government-owned corporation created to provide broadband to remote areas of Australia.,JM/12_15
Sky Muster 2 (NBN-1B),Australia,Australia,NBN Co (operated by Optus),Commercial,Communications,,GEO,,145.00,"35,790","35,798",9.49E-05,0,1436.1,"6,405",,"16,400",10/5/2016,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-060B,41794,Secone satellite built to guarantee internet to all Australians.,JMSatcat/12_16
SkyBrasil-1 (Intelsat 32E),NR,Brazil,DirecTV Latin America/Intelsat,Commercial,Communications,,GEO,,43.10,"35,785","35,787",2.37E-05,0,1436,"6,000",,"16,000",2/14/2017,15,Airbus Defense and Space,Germany/UK/France/Spain,Guiana Space Center,Ariane 5 ECA,2017-007B,41945,High definition television broadcast capacity. Intelsat is a minority owner. ,JM/GEO9_17
Skynet 4C ,United Kingdom,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,,GEO,,-1.30,"35,775","35,797",2.61E-04,13.6,1436.07,"1,474",850,"1,200",8/30/1990,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.,JM/12_08
Skynet 4E ,United Kingdom,United Kingdom,Ministry of Defense,Military,Communications,,GEO,,35.58,"35,774","35,797",2.73E-04,4.99,1436.06,"1,510",759,"1,200",2/26/1999,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1999-009B,25639,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.",JM/12_08
Skynet 4F ,United Kingdom,United Kingdom,Ministry of Defense,Military,Communications,,GEO,,-34.04,"35,773","35,801",3.32E-04,3.23,1436.15,"1,510",830,"1,200",2/7/2001,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,2001-005B,26695,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.",JM/12_08
Skynet 5A,United Kingdom,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,,GEO,,-1.12,"35,771","35,802",3.68E-04,0.07,1436.1,"4,700","2,170","6,000",3/11/2007,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2007-007B,30794,New generation of Skynet communications.,JM/12_08
Skynet 5B,United Kingdom,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,,GEO,,52.80,"35,700","35,803",1.22E-03,0.07,1436.1,"4,635","2,170","6,000",11/14/2007,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5,2007-056B,32294,,JM/12_08
Skynet 5C,United Kingdom,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,,GEO,,-17.83,"35,770","35,803",3.91E-04,0.53,1436.1,"4,600",,,6/12/2008,,EADS Astrium,UK,Guiana Space Center,Ariane 5 ECA,2008-030A,33055,24 super-high-frequency and UHF channels; provide secure communications services to British and NATO forces.,JM/12_08
Skynet 5D,United Kingdom,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,,GEO,,25.00,"35,786","35,793",8.30E-05,0.07,1436.24,"4,638",,,12/19/2012,15,EADS Astrium,UK,Guiana Space Center,Ariane 5 ECA,2012-075A,39034,,SC - ASCR
SkySat-1 (S1),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,567,599,2.30E-03,97.81,96.34,,,,11/21/2013,,Skybox Imaging,USA,Dombarovsky Air Base,Dnepr,2013-066C,39418,"Planned 24-satellite constellation for imaging. Previously owned by Google, but acquired by Planet in 2/17.",SC - ASCR
"SkySat-10 (SkySat C8, S108)",USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,500,526,1.89E-03,97.3,94.8,110,,,10/31/2017,,Space Systems/Loral,USA,Vandenberg AFB,Minotaur-C,2017-068D,42990,,JMSatcat/3_18
"SkySat-11 (SkySat C9, S109)",USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,500,528,2.03E-03,97.3,94.9,110,,,10/31/2017,,Space Systems/Loral,USA,Vandenberg AFB,Minotaur-C,2017-068C,42989,,JMSatcat/3_18
"SkySat-12 (SkySat C10, S110)",USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,500,528,2.03E-03,97.3,94.9,110,,,10/31/2017,,Space Systems/Loral,USA,Vandenberg AFB,Minotaur-C,2017-068B,42988,,JMSatcat/3_18
"SkySat-13 (SkySat C11, S111)",USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,500,528,2.03E-03,97.3,94.9,110,,,10/31/2017,,Space Systems/Loral,USA,Vandenberg AFB,Minotaur-C,2017-068A,42987,,JMSatcat/3_18
"SkySat-14 (SkySat C12, S112)",NR (11/19),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,572,588,1.15E-03,97.7,96.3,100,,,12/3/2018,,Space Systems/Loral,USA,Vandenberg AFB,Falcon 9,2018-099AR,43797,,JMSatcat/3_19
"SkySat-15 (SkySat C13, S113)",NR (11/19),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,573,590,1.22E-03,97.7,96.3,100,,,12/3/2018,,Space Systems/Loral,USA,Vandenberg AFB,Falcon 9,2018-099AW,43802,,JMSatcat/3_19
"SkySat-2 (B, S2)",USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,626,634,5.71E-04,98.4,97.31,90,,,7/8/2014,,Skybox Imaging,USA,Baikonur Cosmodrome,Soyuz-2.1b,2014-037D,40072,Will collect high resolution panchromatic and multispectral images of the Earth.,ZARYA
